date,strategy,equity,last_equity,cash,long_mv,short_mv,n_positions,positions
2026-08-03,stefan_jansen,99788.5,99921.75,76765.26,23023.24,0,12,"ACN:14, AMAT:3, AMD:3, CHRW:6, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:4, TECH:65, TSLA:3"
2026-08-04,stefan_jansen,100582.96,100089.87,74520.93,26062.03,0,12,"ACN:14, AMAT:4, AMD:3, CHRW:6, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:5, TECH:65, TSLA:6"
2026-08-05,stefan_jansen,100748.89,100872.9,74520.93,26227.96,0,12,"ACN:14, AMAT:4, AMD:3, CHRW:6, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:5, TECH:65, TSLA:6"
2026-08-06,stefan_jansen,99916.83,100492.93,71986.05,27930.78,0,13,"ACN:14, AMAT:4, AMD:3, CHRW:12, FTNT:12, MU:3, NOW:9, NTAP:10, PANW:2, ROST:3, STX:6, TECH:65, TSLA:6"
2026-08-07,stefan_jansen,100926.04,100575.46,69472.32,31453.72,0,14,"ACN:14, AMAT:4, AMD:3, CHRW:12, FTNT:12, MU:3, NOW:17, NTAP:10, PANW:2, ROST:3, STX:7, TECH:65, TSLA:6, WDAY:5"
2026-08-10,stefan_jansen,100695.44,100610.13,66969.76,33725.68,0,14,"ACN:14, AMAT:5, AMD:5, CHRW:12, FTNT:18, MU:3, NOW:17, NTAP:10, PANW:2, ROST:3, STX:7, TECH:65, TSLA:6, WDAY:5"
2026-08-11,stefan_jansen,100666.66,100618.905,66486.84,34179.82,0,15,"ACN:14, AMAT:4, AMD:7, ANET:5, CHRW:18, FTNT:18, MU:3, NOW:17, NTAP:10, PANW:2, ROST:3, STX:6, TECH:65, TSLA:3, WDAY:5"
2026-08-12,stefan_jansen,101016.44,100724.77,63821.32,37195.12,0,17,"ACN:14, AMAT:4, AMD:7, ANET:5, CHRW:24, CIEN:2, FTNT:18, MU:3, NOW:17, NTAP:10, PANW:2, ROST:3, STX:6, TECH:65, TSLA:3, TTD:74, WDAY:5"
2026-08-13,stefan_jansen,101466.5,101436.49,63944.65,37521.85,0,16,"ACN:14, AMAT:5, AMD:9, ANET:5, CHRW:18, CIEN:4, FTNT:18, MU:3, NOW:17, NTAP:10, ROST:3, STX:5, TECH:65, TSLA:3, TTD:74, WDAY:5"
2026-08-14,stefan_jansen,101970.62,101983.18,63868.19,38102.43,0,16,"ACN:14, AMAT:5, AMD:9, ANET:5, CHRW:24, CIEN:4, EPAM:9, FTNT:18, MU:3, NOW:9, NTAP:10, ROST:3, STX:4, TECH:65, TSLA:3, TTD:148"
2026-08-17,stefan_jansen,102327.47,102151.38,63673.32,38654.15,0,17,"ACN:14, AMAT:4, AMD:7, ANET:5, CHRW:24, CIEN:4, EPAM:18, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:5, TECH:65, TER:2, TSLA:3, TTD:148"
2026-08-18,stefan_jansen,101252.14,102040.84,63725.35,37526.79,0,16,"ACN:14, AMAT:4, AMD:5, CHRW:18, CIEN:4, EPAM:27, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:6, TECH:65, TER:2, TSLA:3, TTD:218"
2026-08-19,stefan_jansen,101000.73,101006.9,66434.64,34566.09,0,16,"ACN:14, AMAT:4, AMD:5, CHRW:12, CIEN:2, EPAM:27, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:6, TECH:65, TER:2, TSLA:3, TTD:144"
2026-08-20,stefan_jansen,100654.43,100621.885,66034.52,34619.91,0,15,"ACN:14, AMAT:3, AMD:3, CHRW:12, EPAM:27, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:7, TECH:65, TER:4, TSLA:3, TTD:218"
2026-08-21,stefan_jansen,100887.38,100708.755,66366.95,34520.43,0,17,"ACN:14, AMAT:3, AMD:3, ANET:5, CHRW:6, CIEN:2, EPAM:18, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:7, TECH:65, TER:6, TSLA:3, TTD:144"
2026-08-24,stefan_jansen,100448.87,100812.0,66277.64,34171.23,0,18,"ACN:14, AMAT:3, AMD:3, ANET:5, CHRW:6, CIEN:4, EPAM:9, FSLR:4, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:6, TECH:65, TER:4, TSLA:3, TTD:219"
2026-08-25,stefan_jansen,100367.8,100030.895,66611.05,33756.75,0,18,"ACN:14, AMAT:3, AMD:3, ANET:5, CHRW:6, CIEN:6, COHR:3, FSLR:8, FTNT:12, MU:3, NOW:9, NTAP:10, ROST:3, STX:5, TECH:65, TER:4, TSLA:3, TTD:149"
