ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
TTD,1,2026-08-14,beta_hedged,0.5800080509327482,1.0,5,0.005263157894736842,14.140000343322754,482636672.0,atr_pct(+0.026) | vol_63d(+0.023) | ret_21d_rank(-0.010)
STX,2,2026-08-14,beta_hedged,0.5687749911282973,0.9946236559139785,5,0.005263157894736842,973.4400024414062,4669630741.0,atr_pct(+0.025) | close_vs_sma200(+0.020) | vol_63d(+0.017)
EPAM,3,2026-08-14,beta_hedged,0.5595134123911483,0.989247311827957,5,0.005263157894736842,100.5,174401895.0,vol_63d(+0.025) | vol_63d_rank(+0.010) | atr_pct(+0.006)
MNST,4,2026-08-14,beta_hedged,0.5573026552639151,0.9838709677419355,5,0.005263157894736842,46.81999969482422,542635854.0,atr_pct(+0.024) | vol_63d(+0.020) | ret_21d_rank(-0.009)
MU,5,2026-08-14,beta_hedged,0.5542062800556401,0.978494623655914,5,0.005263157894736842,971.6599731445312,38211726486.0,atr_pct(+0.018) | vol_63d(+0.015) | close_vs_sma200(+0.015)
AMD,6,2026-08-14,beta_hedged,0.5528126663207283,0.9731182795698925,5,0.005263157894736842,514.3900146484375,14173313601.0,vol_63d(+0.013) | vol_10d(+0.012) | atr_pct(+0.009)
FSLR,7,2026-08-14,beta_hedged,0.5492452257489088,0.967741935483871,5,0.005263157894736842,225.55999755859375,607236133.0,vol_63d(+0.020) | atr_pct(+0.010) | vol_10d(+0.009)
BLDR,8,2026-08-14,beta_hedged,0.5481553494548841,0.9623655913978495,5,0.005263157894736842,72.51000213623047,167863591.0,vol_63d(+0.018) | vol_10d(+0.010) | vol_63d_rank(+0.008)
PODD,9,2026-08-14,beta_hedged,0.5470151309416229,0.956989247311828,5,0.005263157894736842,143.33999633789062,269044014.0,vol_63d(+0.019) | vol_63d_rank(+0.008) | vol_10d(+0.005)
COHR,10,2026-08-14,beta_hedged,0.5464338303734758,0.9516129032258065,5,0.005263157894736842,325.8299865722656,2075750328.0,atr_pct(+0.019) | vol_63d(+0.016) | vol_10d(+0.009)
MCHP,11,2026-08-14,beta_hedged,0.5457166328469912,0.946236559139785,5,0.005263157894736842,79.16999816894531,889469640.0,vol_63d(+0.020) | vol_10d(+0.012) | vol_63d_rank(+0.008)
