ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
MNST,1,2026-08-24,beta_hedged,0.5578450232961563,1.0,5,0.005128205128205128,48.91999816894531,531870947.0,atr_pct(+0.021) | vol_10d(+0.015) | vol_63d(+0.006)
CIEN,2,2026-08-24,beta_hedged,0.546518274325026,0.9948453608247423,5,0.005128205128205128,371.95001220703125,876472504.0,atr_pct(+0.017) | vol_10d(+0.015) | mkt_dispersion(-0.008)
MU,3,2026-08-24,beta_hedged,0.5341611259780609,0.9896907216494846,5,0.005128205128205128,910.4299926757812,34554724538.0,vol_10d(+0.021) | atr_pct(+0.014) | mkt_dispersion(-0.011)
FSLR,4,2026-08-24,beta_hedged,0.5206972182877302,0.9845360824742269,5,0.005128205128205128,208.30999755859375,608245563.0,vol_63d(+0.010) | atr_pct(+0.006) | mkt_breadth(-0.004)
TER,5,2026-08-24,beta_hedged,0.5197861536115116,0.979381443298969,5,0.005128205128205128,364.8999938964844,1325636759.0,atr_pct(+0.014) | vol_10d(+0.011) | mkt_dispersion(-0.008)
STX,6,2026-08-24,beta_hedged,0.5188171213239575,0.9742268041237113,5,0.005128205128205128,794.6500244140625,4444797663.0,atr_pct(+0.021) | vol_10d(+0.015) | mkt_dispersion(-0.010)
GLW,7,2026-08-24,beta_hedged,0.5165247774604306,0.9690721649484536,5,0.005128205128205128,145.5500030517578,2007286407.0,vol_10d(+0.014) | mkt_dispersion(-0.009) | atr_pct(+0.006)
RSG,8,2026-08-24,beta_hedged,0.5159810466970781,0.9639175257731959,5,0.005128205128205128,223.0800018310547,305620203.0,mkt_dispersion(+0.012) | amihud(+0.002) | vol_21d(+0.002)
ITW,9,2026-08-24,beta_hedged,0.5157725997078857,0.9587628865979382,5,0.005128205128205128,283.95001220703125,369911976.0,mkt_dispersion(+0.009) | vol_10d(+0.002) | amihud(+0.002)
LIN,10,2026-08-24,beta_hedged,0.5148607707766089,0.9536082474226805,5,0.005128205128205128,490.0299987792969,1106619948.0,mkt_dispersion(+0.010) | vol_63d_rank(+0.002) | ret_21d_rank(+0.001)
GDDY,11,2026-08-24,beta_hedged,0.5132294150414151,0.9484536082474226,5,0.005128205128205128,100.5199966430664,209941464.0,vol_21d(+0.012) | mkt_dispersion(-0.010) | vol_63d(+0.005)
ORCL,12,2026-08-24,beta_hedged,0.5128596318706521,0.9432989690721649,5,0.005128205128205128,142.4499969482422,4067531217.0,vol_63d(+0.009) | mkt_breadth(-0.004) | ret_63d(+0.003)
COHR,13,2026-08-24,beta_hedged,0.5117933236899884,0.9381443298969072,5,0.005128205128205128,275.489990234375,2436316325.0,vol_10d(+0.014) | mkt_dispersion(-0.010) | atr_pct(+0.007)
WM,14,2026-08-24,beta_hedged,0.5107947235555608,0.9329896907216495,5,0.005128205128205128,226.4600067138672,463952551.0,mkt_dispersion(+0.012) | vol_63d(-0.003) | amihud(+0.002)
TTD,15,2026-08-24,beta_hedged,0.5103941877736058,0.9278350515463918,5,0.005128205128205128,13.270000457763672,475305308.0,atr_pct(+0.012) | ret_21d_rank(-0.005) | vol_21d_rank(-0.005)
SNPS,16,2026-08-24,beta_hedged,0.5098120021715626,0.9226804123711341,5,0.005128205128205128,394.510009765625,626838419.0,ret_63d(+0.004) | vol_63d_rank(+0.003) | vol_63d(-0.003)
JBL,17,2026-08-24,beta_hedged,0.5091483830880524,0.9175257731958762,5,0.005128205128205128,304.8900146484375,353683421.0,vol_10d(+0.007) | mkt_dispersion(-0.005) | ret_5d(+0.003)
CHRW,18,2026-08-24,beta_hedged,0.5079071458389754,0.9123711340206185,5,0.005128205128205128,142.86000061035156,340745213.0,ret_21d_rank(-0.006) | ret_63d(+0.005) | vol_63d(+0.004)
FAST,19,2026-08-24,beta_hedged,0.5073469598253625,0.9072164948453608,5,0.005128205128205128,51.279998779296875,387851035.0,mkt_dispersion(+0.011) | vol_63d(-0.005) | vol_63d_rank(-0.002)
PWR,20,2026-08-24,beta_hedged,0.5073161419166853,0.9020618556701031,5,0.005128205128205128,616.780029296875,821954339.0,vol_63d(+0.006) | mkt_dispersion(-0.004) | vol_63d_rank(+0.002)
A,21,2026-08-24,beta_hedged,0.507134299643376,0.8969072164948454,5,0.005128205128205128,153.42999267578125,254069204.0,mkt_dispersion(-0.007) | close_vs_sma50(+0.004) | vol_63d_rank(+0.003)
TJX,22,2026-08-24,beta_hedged,0.5068946466864888,0.8917525773195877,5,0.005128205128205128,140.7100067138672,944868467.0,mkt_dispersion(+0.009) | ret_21d_rank(+0.005) | vol_63d(-0.004)
PEP,23,2026-08-24,beta_hedged,0.5068268078661569,0.8865979381443299,5,0.005128205128205128,144.6699981689453,969368327.0,mkt_dispersion(+0.013) | vol_63d(-0.004) | amihud(+0.001)
BSX,24,2026-08-24,beta_hedged,0.5066531644263188,0.8814432989690721,5,0.005128205128205128,49.0099983215332,1030836164.0,vol_21d(-0.003) | ret_63d(+0.003) | vol_63d(+0.002)
NOW,25,2026-08-24,beta_hedged,0.5066242491488461,0.8762886597938144,5,0.005128205128205128,128.0500030517578,2549166144.0,vol_63d(+0.008) | close_vs_sma50(+0.007) | mkt_dispersion(-0.006)
IT,26,2026-08-24,beta_hedged,0.5065196450059637,0.8711340206185567,5,0.005128205128205128,202.77999877929688,284429025.0,vol_21d(+0.012) | close_vs_sma50(+0.007) | ret_5d(-0.006)
PNR,27,2026-08-24,beta_hedged,0.506373023773096,0.865979381443299,5,0.005128205128205128,63.310001373291016,194816484.0,vol_21d(-0.005) | ret_63d(+0.003) | vol_63d_rank(+0.003)
CDNS,28,2026-08-24,beta_hedged,0.5062971996234645,0.8608247422680413,5,0.005128205128205128,315.9200134277344,765063287.0,ret_10d(+0.003) | ret_63d(+0.002) | vol_63d(+0.002)
PG,29,2026-08-24,beta_hedged,0.5058423040915775,0.8556701030927835,5,0.005128205128205128,146.60000610351562,1417838921.0,mkt_dispersion(+0.012) | vol_63d(-0.003) | vol_21d_rank(-0.002)
CAH,30,2026-08-24,beta_hedged,0.5057843809339042,0.8505154639175257,5,0.005128205128205128,232.3699951171875,469063129.0,mkt_dispersion(+0.010) | vol_63d(-0.005) | vol_63d_rank(-0.002)
NEM,31,2026-08-24,beta_hedged,0.5056759181047751,0.845360824742268,5,0.005128205128205128,131.83999633789062,831345281.0,mkt_dispersion(-0.008) | close_vs_sma50(+0.005) | vol_63d(+0.005)
NSC,32,2026-08-24,beta_hedged,0.5055842312367284,0.8402061855670103,5,0.005128205128205128,352.9800109863281,431866533.0,mkt_dispersion(+0.009) | vol_63d(-0.004) | vol_63d_rank(-0.004)
COP,33,2026-08-24,beta_hedged,0.5055436933418596,0.8350515463917526,5,0.005128205128205128,133.35000610351562,871557252.0,close_vs_sma200(+0.004) | close_vs_sma50(+0.003) | vol_63d(-0.003)
GRMN,34,2026-08-24,beta_hedged,0.5054735721901827,0.8298969072164949,5,0.005128205128205128,291.25,331538314.0,mkt_dispersion(-0.009) | vol_63d_rank(+0.003) | mkt_breadth(-0.003)
ROL,35,2026-08-24,beta_hedged,0.5054182028151265,0.8247422680412371,5,0.005128205128205128,37.2599983215332,200506712.0,mkt_dispersion(+0.004) | vol_63d(-0.003) | ret_63d(+0.003)
MSFT,36,2026-08-24,beta_hedged,0.5053165541999111,0.8195876288659794,5,0.005128205128205128,487.30999755859375,17174841171.0,mkt_dispersion(-0.006) | close_vs_sma50(+0.003) | vol_63d(+0.002)
KVUE,37,2026-08-24,beta_hedged,0.5052142626964009,0.8144329896907216,5,0.005128205128205128,19.43000030517578,418923082.0,mkt_dispersion(+0.010) | vol_63d(-0.004) | vol_63d_rank(-0.004)
CDW,38,2026-08-24,beta_hedged,0.5051024762373942,0.8092783505154639,5,0.005128205128205128,132.50999450683594,277171431.0,mkt_dispersion(-0.009) | atr_pct(+0.006) | vol_63d(+0.006)
MMM,39,2026-08-24,beta_hedged,0.5048870659771599,0.8041237113402062,5,0.005128205128205128,179.00999450683594,554718325.0,mkt_dispersion(+0.009) | vol_63d(-0.005) | vol_63d_rank(-0.004)
SMCI,40,2026-08-24,beta_hedged,0.5047746892857,0.7989690721649485,4,0.0,35.16999816894531,1873717169.0,mkt_dispersion(-0.009) | vol_63d(+0.007) | mkt_breadth(-0.005)
ABT,41,2026-08-24,beta_hedged,0.5047724275186839,0.7938144329896907,4,0.0,116.66999816894531,926057160.0,close_vs_sma50(+0.004) | vol_63d(-0.003) | vol_21d(+0.002)
ECL,42,2026-08-24,beta_hedged,0.5045900588128805,0.788659793814433,4,0.0,286.9800109863281,407016057.0,mkt_dispersion(+0.009) | vol_63d(-0.004) | vol_63d_rank(-0.004)
CRWD,43,2026-08-24,beta_hedged,0.5045802311604666,0.7835051546391752,4,0.0,190.67999267578125,1554626212.0,mkt_breadth(-0.005) | mkt_dispersion(-0.004) | close_vs_sma200(+0.004)
GPC,44,2026-08-24,beta_hedged,0.5045773231298712,0.7783505154639175,4,0.0,135.69000244140625,156364077.0,vol_63d_rank(+0.006) | close_vs_sma50(+0.003) | vol_63d(-0.002)
AKAM,45,2026-08-24,beta_hedged,0.5045684284545943,0.7731958762886598,4,0.0,105.66000366210938,415647684.0,vol_63d(+0.005) | mkt_dispersion(-0.004) | atr_pct(+0.004)
NKE,46,2026-08-24,beta_hedged,0.5043611651659308,0.7680412371134021,4,0.0,40.75,991703248.0,vol_63d(-0.002) | vol_63d_rank(+0.002) | vol_21d(+0.001)
GILD,47,2026-08-24,beta_hedged,0.5040649919195572,0.7628865979381443,4,0.0,146.74000549316406,912698386.0,vol_63d(-0.005) | close_vs_sma50(+0.004) | mkt_dispersion(+0.003)
PODD,48,2026-08-24,beta_hedged,0.5039478466306236,0.7577319587628866,4,0.0,145.4199981689453,256830884.0,vol_63d(+0.005) | close_vs_sma200(+0.005) | ret_21d_rank(-0.004)
CSX,49,2026-08-24,beta_hedged,0.5035090804836971,0.7525773195876289,4,0.0,51.439998626708984,572201961.0,mkt_dispersion(+0.007) | vol_63d(-0.003) | vol_63d_rank(-0.003)
MDT,50,2026-08-24,beta_hedged,0.5030927181081438,0.7474226804123711,4,0.0,92.9000015258789,635561385.0,vol_63d(-0.005) | close_vs_sma50(+0.003) | mkt_dispersion(+0.003)
WAB,51,2026-08-24,beta_hedged,0.5026778270512741,0.7422680412371134,4,0.0,297.6199951171875,290001862.0,close_vs_sma200(+0.003) | vol_63d(-0.002) | atr_pct(-0.002)
ODFL,52,2026-08-24,beta_hedged,0.5026408870851427,0.7371134020618557,4,0.0,201.47999572753906,373542879.0,vol_63d_rank(+0.002) | vol_63d(-0.001) | vol_21d(+0.001)
ADSK,53,2026-08-24,beta_hedged,0.5025703040108515,0.7319587628865979,4,0.0,254.4199981689453,474444843.0,close_vs_sma50(+0.004) | mkt_dispersion(-0.003) | vol_21d(-0.003)
QCOM,54,2026-08-24,beta_hedged,0.5024925071725556,0.7268041237113402,4,0.0,158.52999877929688,1792000701.0,vol_63d(+0.006) | mkt_dispersion(-0.004) | sharpe_mom_63(+0.004)
WELL,55,2026-08-24,beta_hedged,0.5023787190248274,0.7216494845360825,4,0.0,240.00999450683594,747167283.0,mkt_dispersion(+0.004) | vol_63d(-0.003) | vol_21d(+0.002)
CPT,56,2026-08-24,beta_hedged,0.5023602159747896,0.7164948453608248,4,0.0,109.1500015258789,106206207.0,mkt_dispersion(+0.006) | amihud(-0.005) | vol_63d_rank(-0.003)
MAA,57,2026-08-24,beta_hedged,0.5022232832221394,0.711340206185567,4,0.0,133.16000366210938,136383549.0,mkt_dispersion(+0.007) | amihud(-0.003) | vol_63d_rank(-0.003)
PTC,58,2026-08-24,beta_hedged,0.5019989568055611,0.7061855670103093,4,0.0,154.30999755859375,204585915.0,close_vs_sma50(+0.007) | vol_63d(+0.004) | vol_21d(-0.004)
NUE,59,2026-08-24,beta_hedged,0.5018733939424788,0.7010309278350515,4,0.0,244.63999938964844,433922847.0,vol_21d(-0.004) | close_vs_sma200(+0.004) | mkt_dispersion(-0.002)
REGN,60,2026-08-24,beta_hedged,0.5017555708010665,0.6958762886597938,4,0.0,828.5,645959024.0,vol_63d(-0.005) | close_vs_sma50(+0.002) | vol_63d_rank(-0.002)
RVTY,61,2026-08-24,beta_hedged,0.5016029387465725,0.6907216494845361,4,0.0,123.0,186235392.0,mkt_dispersion(-0.005) | close_vs_sma200(+0.003) | vol_63d_rank(+0.003)
NXPI,62,2026-08-24,beta_hedged,0.5015657313336048,0.6855670103092784,4,0.0,222.44000244140625,1038533696.0,mkt_dispersion(-0.005) | ret_63d(+0.004) | vol_21d(-0.003)
AVGO,63,2026-08-24,beta_hedged,0.5013242633116985,0.6804123711340206,4,0.0,358.760009765625,7829900025.0,mkt_dispersion(-0.008) | vol_63d(+0.006) | ret_10d(+0.004)
MKC,64,2026-08-24,beta_hedged,0.5012871358533539,0.6752577319587629,4,0.0,56.20000076293945,150616473.0,vol_63d(-0.004) | vol_21d(+0.002) | rsi_14(+0.002)
TSCO,65,2026-08-24,beta_hedged,0.5012340198293269,0.6701030927835051,4,0.0,35.91999816894531,395617479.0,close_vs_sma50(+0.003) | vol_63d(-0.003) | vol_63d_rank(+0.002)
AAPL,66,2026-08-24,beta_hedged,0.5011293451182595,0.6649484536082474,4,0.0,310.3399963378906,16692416816.0,vol_63d(-0.002) | ret_63d(-0.001) | vol_21d(+0.001)
ROST,67,2026-08-24,beta_hedged,0.5009734768077712,0.6597938144329897,4,0.0,241.52000427246094,678921577.0,vol_63d(-0.004) | mkt_dispersion(+0.003) | vol_63d_rank(-0.002)
MRK,68,2026-08-24,beta_hedged,0.500771667688014,0.654639175257732,4,0.0,150.66000366210938,1446109073.0,vol_10d(+0.004) | sharpe_mom_63(+0.004) | mkt_dispersion(-0.004)
ROP,69,2026-08-24,beta_hedged,0.5005827687107781,0.6494845360824743,4,0.0,415.510009765625,318626014.0,vol_63d(-0.003) | close_vs_sma50(+0.002) | rsi_14(+0.001)
UNP,70,2026-08-24,beta_hedged,0.500549905262943,0.6443298969072165,4,0.0,309.8599853515625,802397618.0,vol_63d(-0.007) | mkt_dispersion(+0.006) | vol_63d_rank(-0.006)
XOM,71,2026-08-24,beta_hedged,0.5005254454284088,0.6391752577319587,4,0.0,164.0500030517578,2261575569.0,mkt_dispersion(+0.009) | vol_63d(-0.007) | vol_63d_rank(-0.005)
TPR,72,2026-08-24,beta_hedged,0.5004526614209044,0.634020618556701,4,0.0,132.16000366210938,446741064.0,vol_10d(+0.007) | mkt_dispersion(-0.004) | ret_63d(-0.003)
DHR,73,2026-08-24,beta_hedged,0.5002193926925164,0.6288659793814433,4,0.0,215.11000061035156,871306239.0,close_vs_sma50(+0.004) | vol_63d(-0.003) | mkt_dispersion(-0.002)
VRTX,74,2026-08-24,beta_hedged,0.500157492033625,0.6237113402061856,4,0.0,547.5900268554688,678378032.0,vol_63d(-0.004) | close_vs_sma50(+0.003) | vol_63d_rank(-0.002)
CTSH,75,2026-08-24,beta_hedged,0.5000776721024184,0.6185567010309279,4,0.0,62.20000076293945,537187750.0,mkt_dispersion(-0.008) | vol_63d(+0.007) | close_vs_sma50(+0.006)
JCI,76,2026-08-24,beta_hedged,0.5000691822794988,0.6134020618556701,4,0.0,142.99000549316406,544941684.0,vol_63d(-0.002) | vol_63d_rank(+0.002) | vol_21d(+0.001)
TMO,77,2026-08-24,beta_hedged,0.5000459691352973,0.6082474226804123,4,0.0,628.739990234375,1117654650.0,close_vs_sma50(+0.003) | mkt_dispersion(-0.003) | close_vs_sma200(+0.002)
