ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
PANW,1,2026-08-28,beta_hedged,0.5628599326135596,1.0,5,0.005263157894736842,371.5899963378906,2012419336.0,close_vs_sma200(+0.012) | vol_63d(+0.012) | vol_10d(+0.011)
FTNT,2,2026-08-28,beta_hedged,0.5420084751921952,0.9946808510638298,5,0.005263157894736842,166.0,734444797.0,close_vs_sma200(+0.012) | ret_63d(+0.006) | sharpe_mom_63(+0.005)
ANET,3,2026-08-28,beta_hedged,0.5419714178509936,0.9893617021276596,5,0.005263157894736842,195.3800048828125,1505296632.0,vol_63d(+0.014) | close_vs_sma200(+0.005) | ret_63d(+0.005)
FCX,4,2026-08-28,beta_hedged,0.5393680271212421,0.9840425531914894,5,0.005263157894736842,76.44999694824219,1004645016.0,vol_63d(+0.011) | ret_63d(+0.006) | vol_63d_rank(+0.006)
CIEN,5,2026-08-28,beta_hedged,0.5392974569887454,0.9787234042553191,5,0.005263157894736842,378.44000244140625,789742814.0,vol_63d(+0.022) | mkt_dispersion(-0.010) | atr_pct(+0.009)
CTSH,6,2026-08-28,beta_hedged,0.5339978334279133,0.973404255319149,5,0.005263157894736842,64.04000091552734,471080724.0,vol_63d(+0.011) | vol_63d_rank(+0.006) | ret_63d(+0.004)
NEM,7,2026-08-28,beta_hedged,0.5331488439720015,0.9680851063829787,5,0.005263157894736842,127.9800033569336,911215984.0,close_vs_sma200(+0.008) | vol_63d(+0.006) | close_vs_sma50(+0.005)
EXPE,8,2026-08-28,beta_hedged,0.5257078794418144,0.9627659574468085,5,0.005263157894736842,329.44000244140625,497560735.0,close_vs_sma200(+0.005) | mkt_dispersion(+0.004) | ret_63d(+0.004)
ACN,9,2026-08-28,beta_hedged,0.5253745275565717,0.9574468085106383,5,0.005263157894736842,189.61000061035156,989726186.0,vol_63d(+0.017) | close_vs_sma50(+0.003) | ret_63d(-0.003)
DXCM,10,2026-08-28,beta_hedged,0.5253184718309359,0.9521276595744681,5,0.005263157894736842,90.81999969482422,482033804.0,close_vs_sma200(+0.007) | close_vs_sma50(+0.005) | ret_63d(+0.004)
CDW,11,2026-08-28,beta_hedged,0.5252997295120401,0.9468085106382979,5,0.005263157894736842,147.69000244140625,276711836.0,vol_63d(+0.008) | vol_63d_rank(+0.007) | ret_63d(+0.006)
IT,12,2026-08-28,beta_hedged,0.5252284091301895,0.9414893617021277,5,0.005263157894736842,198.38999938964844,291007723.0,vol_63d(+0.014) | vol_63d_rank(+0.005) | close_vs_sma50(+0.004)
CRL,13,2026-08-28,beta_hedged,0.5238109047376096,0.9361702127659575,5,0.005263157894736842,291.5,269275113.0,close_vs_sma200(+0.006) | ret_63d(+0.005) | close_vs_sma50(+0.005)
MRK,14,2026-08-28,beta_hedged,0.5233882991295754,0.9308510638297872,5,0.005263157894736842,148.35000610351562,1585904200.0,close_vs_sma200(+0.007) | vol_10d(+0.007) | ret_63d(+0.005)
