ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
PANW,1,2026-08-31,beta_hedged,0.552515896426857,1.0,5,0.005,382.1300048828125,2037519539.0,close_vs_sma200(+0.016) | vol_63d(+0.011) | ret_63d(+0.009)
ANET,2,2026-08-31,beta_hedged,0.548991145646612,0.9949748743718593,5,0.005,195.69000244140625,1458820112.0,vol_63d(+0.018) | vol_63d_rank(+0.007) | ret_63d(+0.005)
NEM,3,2026-08-31,beta_hedged,0.5471591892392745,0.9899497487437185,5,0.005,126.05999755859375,940176125.0,close_vs_sma50(+0.011) | ret_63d(+0.009) | close_vs_sma200(+0.007)
WDAY,4,2026-08-31,beta_hedged,0.539305510102851,0.9849246231155779,5,0.005,197.4499969482422,955013463.0,vol_63d(+0.015) | close_vs_sma50(+0.007) | vol_21d_rank(-0.005)
FCX,5,2026-08-31,beta_hedged,0.5342655009689324,0.9798994974874372,5,0.005,75.73999786376953,1039884467.0,vol_63d(+0.008) | close_vs_sma50(+0.007) | close_vs_sma200(+0.006)
FSLR,6,2026-08-31,beta_hedged,0.5333029739659109,0.9748743718592965,5,0.005,201.89999389648438,568169920.0,vol_63d(+0.020) | vol_63d_rank(+0.008) | bb_position(+0.004)
ORCL,7,2026-08-31,beta_hedged,0.5332474853249115,0.9698492462311558,5,0.005,149.1199951171875,3696241461.0,vol_63d(+0.025) | vol_63d_rank(+0.006) | vol_21d(-0.003)
VRT,8,2026-08-31,beta_hedged,0.5325620805458006,0.964824120603015,5,0.005,258.7200012207031,1233581715.0,vol_63d(+0.019) | bb_position(+0.004) | ret_21d_rank(+0.003)
CTSH,9,2026-08-31,beta_hedged,0.5310916437971048,0.9597989949748744,5,0.005,64.58000183105469,465574993.0,vol_63d(+0.009) | vol_63d_rank(+0.007) | close_vs_sma50(+0.005)
AVGO,10,2026-08-31,beta_hedged,0.5293685461583383,0.9547738693467337,5,0.005,370.3399963378906,7537787652.0,vol_63d(+0.017) | vol_63d_rank(+0.007) | vol_21d(-0.003)
DASH,11,2026-08-31,beta_hedged,0.529272983000044,0.949748743718593,5,0.005,231.74000549316406,1000107682.0,close_vs_sma200(+0.006) | close_vs_sma50(+0.005) | vol_63d_rank(+0.005)
EXPE,12,2026-08-31,beta_hedged,0.5283497421126889,0.9447236180904522,5,0.005,317.1199951171875,496952168.0,close_vs_sma200(+0.005) | mkt_dispersion(+0.005) | ret_63d(+0.005)
GRMN,13,2026-08-31,beta_hedged,0.5281437466602793,0.9396984924623115,5,0.005,284.1099853515625,264598857.0,close_vs_sma200(+0.007) | vol_63d_rank(+0.006) | mkt_dispersion(+0.004)
IT,14,2026-08-31,beta_hedged,0.5275100493559866,0.9346733668341709,5,0.005,198.11000061035156,286441630.0,vol_63d(+0.016) | close_vs_sma50(+0.007) | vol_21d_rank(-0.004)
ZBRA,15,2026-08-31,beta_hedged,0.5268048628836209,0.9296482412060302,5,0.005,353.54998779296875,304102524.0,vol_63d(+0.013) | ret_63d(+0.005) | vol_10d(-0.004)
DXCM,16,2026-08-31,beta_hedged,0.526697573514314,0.9246231155778895,5,0.005,91.05999755859375,443603475.0,close_vs_sma200(+0.006) | ret_63d(+0.006) | vol_63d_rank(+0.004)
AKAM,17,2026-08-31,beta_hedged,0.5244245525459915,0.9195979899497487,5,0.005,108.62000274658203,411713220.0,vol_63d(+0.018) | vol_63d_rank(+0.006) | bb_position(+0.003)
CRL,18,2026-08-31,beta_hedged,0.5230410360783538,0.914572864321608,5,0.005,288.239990234375,272971993.0,ret_63d(+0.007) | close_vs_sma200(+0.006) | close_vs_sma50(+0.006)
CIEN,19,2026-08-31,beta_hedged,0.5228497902582103,0.9095477386934674,5,0.005,382.79998779296875,777946016.0,vol_63d(+0.017) | mkt_dispersion(-0.013) | atr_pct(+0.009)
EL,20,2026-08-31,beta_hedged,0.5227850999119873,0.9045226130653267,5,0.005,102.30000305175781,349092271.0,ret_63d(+0.010) | vol_10d(+0.008) | close_vs_sma50(+0.008)
MRK,21,2026-08-31,beta_hedged,0.52261198080403,0.8994974874371859,5,0.005,147.75999450683594,1595361588.0,vol_10d(+0.008) | ret_63d(+0.008) | close_vs_sma200(+0.006)
INCY,22,2026-08-31,beta_hedged,0.521716426426187,0.8944723618090452,5,0.005,123.22000122070312,162356204.0,close_vs_sma200(+0.008) | vol_63d_rank(+0.006) | vol_63d(-0.004)
BLDR,23,2026-08-31,beta_hedged,0.5212521099405839,0.8894472361809045,5,0.005,66.4000015258789,129616108.0,vol_63d(+0.017) | vol_63d_rank(+0.006) | ret_63d(-0.002)
CF,24,2026-08-31,beta_hedged,0.520816513163325,0.8844221105527639,5,0.005,130.02999877929688,293250736.0,close_vs_sma200(+0.008) | vol_63d_rank(+0.005) | vol_63d(-0.005)
PWR,25,2026-08-31,beta_hedged,0.5206641478819801,0.8793969849246231,5,0.005,607.0900268554688,708694958.0,vol_63d(+0.014) | vol_63d_rank(+0.007) | bb_position(+0.004)
GEV,26,2026-08-31,beta_hedged,0.5199839856825311,0.8743718592964824,5,0.005,898.530029296875,1937227137.0,vol_63d(+0.014) | vol_63d_rank(+0.006) | bb_position(+0.003)
PNR,27,2026-08-31,beta_hedged,0.5194391785223024,0.8693467336683417,5,0.005,60.459999084472656,179723411.0,vol_63d_rank(+0.005) | bb_position(+0.003) | vol_21d(+0.003)
RVTY,28,2026-08-31,beta_hedged,0.5192716161208527,0.864321608040201,5,0.005,128.6699981689453,183194939.0,close_vs_sma200(+0.007) | vol_63d_rank(+0.005) | vol_63d(-0.003)
