ticker,rank,asof,variant,score,pct_rank,quintile,target_weight_new_tranche,last_adj_close,adv20_dollars,drivers
PANW,1,2026-09-09,beta_hedged,0.6051006678044796,1.0,5,0.005,335.1000061035156,2222009053.0,vol_63d(+0.027) | vol_10d(+0.025) | mkt_dispersion(+0.012)
NOW,2,2026-09-09,beta_hedged,0.5870519184290802,0.9948717948717949,5,0.005,131.11000061035156,2315498203.0,vol_63d(+0.029) | vol_10d(+0.024) | mkt_dispersion(+0.011)
CIEN,3,2026-09-09,beta_hedged,0.5692712855063966,0.9897435897435898,5,0.005,338.0,924134476.0,vol_63d(+0.024) | vol_10d(+0.020) | mkt_dispersion(+0.012)
CRM,4,2026-09-09,beta_hedged,0.5660560505051276,0.9846153846153847,5,0.005,244.16000366210938,3891231892.0,vol_63d(+0.025) | vol_10d(+0.022) | mkt_dispersion(+0.010)
CRWD,5,2026-09-09,beta_hedged,0.5603761761595356,0.9794871794871794,5,0.005,207.8000030517578,2186391792.0,vol_63d(+0.030) | vol_10d(+0.021) | mkt_dispersion(+0.013)
LULU,6,2026-09-09,beta_hedged,0.5557184667105868,0.9743589743589743,5,0.005,99.72000122070312,732377501.0,vol_63d(+0.026) | vol_10d(+0.018) | mkt_dispersion(+0.007)
VRT,7,2026-09-09,beta_hedged,0.5501422623754583,0.9692307692307692,5,0.005,262.8900146484375,1104684472.0,vol_63d(+0.022) | vol_10d(+0.016) | mkt_dispersion(+0.014)
CTSH,8,2026-09-09,beta_hedged,0.5469593425336329,0.9641025641025641,5,0.005,58.20000076293945,388769876.0,vol_63d(+0.023) | vol_63d_rank(+0.007) | mkt_dispersion(+0.007)
FTNT,9,2026-09-09,beta_hedged,0.5394278346981484,0.958974358974359,5,0.005,157.22000122070312,679170254.0,vol_10d(+0.012) | close_vs_sma200(+0.009) | mkt_dispersion(+0.004)
ANET,10,2026-09-09,beta_hedged,0.5356355550261459,0.9538461538461539,5,0.005,192.92999267578125,1110494533.0,vol_63d(+0.018) | mkt_dispersion(+0.006) | vol_63d_rank(+0.006)
FCX,11,2026-09-09,beta_hedged,0.5349368571066854,0.9487179487179487,5,0.005,76.2300033569336,1048555552.0,vol_63d(+0.010) | close_vs_sma200(+0.006) | vol_63d_rank(+0.004)
GDDY,12,2026-09-09,beta_hedged,0.5328929066708298,0.9435897435897436,5,0.005,93.5999984741211,177346830.0,vol_63d(+0.020) | mkt_dispersion(+0.006) | vol_10d(-0.005)
EXPE,13,2026-09-09,beta_hedged,0.5326846033874371,0.9384615384615385,5,0.005,272.6000061035156,479283334.0,vol_63d(+0.010) | vol_63d_rank(+0.006) | ret_63d(+0.005)
DASH,14,2026-09-09,beta_hedged,0.5307409587981026,0.9333333333333333,5,0.005,197.2449951171875,886401186.0,vol_63d(+0.012) | mkt_dispersion(+0.005) | ret_5d(+0.003)
NEM,15,2026-09-09,beta_hedged,0.5303902070093122,0.9282051282051282,5,0.005,128.7100067138672,1017156593.0,vol_63d(+0.007) | close_vs_sma200(+0.006) | mkt_dispersion(+0.004)
DXCM,16,2026-09-09,beta_hedged,0.5272859437271991,0.9230769230769231,5,0.005,83.87999725341797,366635771.0,close_vs_sma200(+0.006) | vol_63d(+0.005) | mkt_dispersion(+0.004)
EPAM,17,2026-09-09,beta_hedged,0.5269292883009783,0.9179487179487179,5,0.005,114.68000030517578,130207454.0,vol_63d(+0.021) | mkt_dispersion(+0.005) | mkt_breadth(-0.004)
WDAY,18,2026-09-09,beta_hedged,0.5268659861980891,0.9128205128205128,5,0.005,186.0500030517578,968695753.0,vol_63d(+0.017) | mkt_dispersion(+0.007) | vol_10d(-0.006)
ACN,19,2026-09-09,beta_hedged,0.5262275189281728,0.9076923076923077,5,0.005,175.8000030517578,947575069.0,vol_63d(+0.021) | mkt_dispersion(+0.005) | vol_10d(-0.004)
RVTY,20,2026-09-09,beta_hedged,0.5243297114734683,0.9025641025641026,5,0.005,123.8499984741211,193749780.0,close_vs_sma200(+0.006) | vol_63d_rank(+0.006) | vol_63d(-0.004)
